"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"P30825","SLC7A1","High affinity cationic amino acid transporter 1",8.96419319945383e-16,-0.88840263788907,-0.267435842231616,6.90393114232796e-15,14.16090354879,"Unchanged"
"P30837","ALDH1B1","Aldehyde dehydrogenase X, mitochondrial",2.45004554900509e-35,-1.23388283033664,-0.371435743066099,3.1749943702668e-33,32.4982570404395,"Downregulated"
"P30838","ALDH3A1","Aldehyde dehydrogenase, dimeric NADP-preferring",0.300740683649721,-0.115959055005425,-0.0349071538254825,0.361844219304857,0.441478361117396,"Unchanged"
"P30874","SSTR2","Somatostatin receptor type 2",4.03107038844813e-18,1.20787256851694,0.363605874063295,4.23569637005686e-17,16.3730751792385,"Upregulated"
"P30876","POLR2B","DNA-directed RNA polymerase II subunit RPB2",4.6175566797547e-15,-0.787322863303927,-0.237007798126534,3.27794214145717e-14,13.4843987163749,"Unchanged"
"P31025","LCN1","Lipocalin-1",0.465142640257207,-0.108317238620416,-0.0326067378722383,0.53039341923787,0.275401873001491,"Unchanged"
"P31040","SDHA","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",2.40755549661524e-11,0.796286151884535,0.23970601684909,1.1621344564544e-10,9.93474362210226,"Unchanged"
"P31146","CORO1A","Coronin-1A",1.57324926147803e-26,1.14602363150888,0.344987488823938,5.50477520780105e-25,24.2592604111164,"Upregulated"
"P31150","GDI1","Rab GDP dissociation inhibitor alpha",9.97801586107344e-18,0.619977224266167,0.186631741132611,9.86778526978181e-17,16.0057803096448,"Unchanged"
"P31151","S100A7","Protein S100-A7",0.780287954143049,0.0562421881511739,0.0169305856552807,0.821023487697762,0.0856444184815079,"Unchanged"
"P31153","MAT2A","S-adenosylmethionine synthase isoform type-2",0.000577899148274496,0.223771770094384,0.0673620149812338,0.00118802828185389,2.92517322054432,"Unchanged"
"P31321","PRKAR1B","cAMP-dependent protein kinase type I-beta regulatory subunit",2.79466286003897e-23,0.894124435263074,0.269158274870303,5.66576796889666e-22,21.2467412151829,"Unchanged"
"P31323","PRKAR2B","cAMP-dependent protein kinase type II-beta regulatory subunit",3.09768512033297e-13,0.880809668866601,0.265150130799705,1.79582367825527e-12,11.7457363064883,"Unchanged"
"P31431","SDC4","Syndecan-4",1.53937228955425e-16,0.839659896182526,0.252762814907045,1.3230540139523e-15,14.878422425289,"Unchanged"
