"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"Q9BQG2","NUDT12","NAD-capped RNA hydrolase NUDT12",2.44877340670249e-11,-0.582175974620809,-0.175252431115776,3.73437944522129e-10,9.42778155607269,"Unchanged"
"Q9BQI0","AIF1L","Allograft inflammatory factor 1-like",1.69868525499708e-09,-0.835295863976368,-0.251449110310948,1.65850388990013e-08,7.78028350553722,"Unchanged"
"Q9BQI5","SGIP1","SH3-containing GRB2-like protein 3-interacting protein 1",2.44252189406816e-07,0.904883058493663,0.272396943174757,1.41600533354178e-06,5.84893511082464,"Unchanged"
"Q9BQI7","PSD2","PH and SEC7 domain-containing protein 2",0.698614216809767,-0.0327845361293253,-0.00986912876885643,0.75644797305525,0.121220936500037,"Unchanged"
"Q9BQI9","NRIP2","Nuclear receptor-interacting protein 2",0.0102233131118501,-0.319655255294676,-0.0962258201153252,0.0194935815435637,1.7101083608974,"Unchanged"
"Q9BQL6","FERMT1","Fermitin family homolog 1",0.00242962654860393,-0.277114057610226,-0.0834196435608345,0.00542163023616928,2.26587010532198,"Unchanged"
"Q9BQS8","FYCO1","FYVE and coiled-coil domain-containing protein 1",0.240693212824629,-0.113579024249413,-0.03419069317732,0.312978365591429,0.504485681715499,"Unchanged"
"Q9BQT9","CLSTN3","Calsyntenin-3",4.14213429263743e-08,0.582371010472664,0.175311142757414,2.81853224868211e-07,6.54997699176642,"Unchanged"
"Q9BR01","SULT4A1","Sulfotransferase 4A1",0.000287560012623998,0.593260393955073,0.178589173819907,0.000811027482412937,3.09096442907113,"Unchanged"
"Q9BR39","JPH2","Junctophilin-2",0.207456949275611,-0.136967622178816,-0.0412313627105949,0.275530009895335,0.55983109219457,"Unchanged"
"Q9BR61","ACBD6","Acyl-CoA-binding domain-containing protein 6",0.887624009887637,-0.0168059998762917,-0.00505911006988894,0.915378859987355,0.0383991215098254,"Unchanged"
"Q9BR76","CORO1B","Coronin-1B",5.21314517438273e-17,-0.622443631027707,-0.187374203549343,4.09630181655348e-15,14.3876080519261,"Unchanged"
"Q9BRA2","TXNDC17","Thioredoxin domain-containing protein 17",5.85539403871491e-17,-0.597235070741268,-0.179785670755621,4.38709033791977e-15,14.3578234226144,"Unchanged"
"Q9BRC7","PLCD4","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4",0.00151687288212582,-0.283336882064843,-0.0852929003794256,0.00358759761034627,2.44519627393514,"Unchanged"
"Q9BRF8","CPPED1","Serine/threonine-protein phosphatase CPPED1",0.000184325791696973,-0.430197330017003,-0.129502300389675,0.000544836055817855,3.26373415967715,"Unchanged"
"Q9BRG1","VPS25","Vacuolar protein-sorting-associated protein 25",0.373523083866112,0.0810560634292932,0.0244003064226595,0.453530846765741,0.343393169189215,"Unchanged"
"Q9BRJ2","MRPL45","Large ribosomal subunit protein mL45",0.000189912823072014,-0.286784133006026,-0.0863306263153025,0.000560629160357771,3.2513243167557,"Unchanged"
