"","PG.ProteinGroups","20241217_HeLa1_shift","20241217_HeLa2_shift","20241217_HeLa3_shift","20241218_HeLa1_shift","20241219_HeLa1_shift","20241222_HeLa1_shift","20241222_HeLa2_shift"
"200","Q86U90",1323.64990234375,1296.33654785156,1298.00463867188,1578.43115234375,1572.91589355469,NA,NA
"201","Q8N257",1520.28479003906,1604.45288085938,1663.53369140625,1680.126953125,1633.80432128906,3053.76220703125,3188.69360351562
"202","Q99497",1277.64929199219,1528.45715332031,1506.60827636719,1432.4169921875,1320.25939941406,1146.78601074219,1009.84637451172
"203","Q9BQE3",5291.1123046875,5867.80322265625,5763.837890625,5725.4052734375,4625.494140625,4183.3134765625,4178.6650390625
"204","Q9UQ80",1490.19970703125,1900.67626953125,2101.82055664062,2095.0625,1852.68505859375,1286.87963867188,1400.01916503906
"205","Q9Y281",4374.93701171875,4558.6650390625,5069.22607421875,4819.3701171875,3602.47705078125,4221.5751953125,3575.162109375
"206","Q9Y3U8",2123.80493164062,2123.68310546875,2268.89038085938,1989.740234375,1131.22412109375,1022.57946777344,NA
"207","A8MWD9;P62308",NA,1155.16577148438,1460.52001953125,1095.1025390625,1210.51293945312,NA,NA
"208","O00299",NA,1240.7392578125,1130.2587890625,1258.46142578125,1134.05920410156,NA,NA
"209","P07686",NA,989.934143066406,NA,NA,NA,NA,NA
"210","P08758",NA,1096.41784667969,904.707763671875,NA,NA,NA,NA
"211","P14866",NA,1154.15771484375,1140.6904296875,1162.65759277344,1147.86779785156,NA,1026.24011230469
"212","P15311",NA,1170.984375,1154.45043945312,1180.56555175781,NA,1146.88098144531,NA
"213","P21333;P21333-2",NA,1132.08093261719,1204.01538085938,1306.96813964844,1224.92077636719,1130.6953125,1063.77917480469
"214","P22314;P22314-2",NA,1149.96508789062,1051.86596679688,1001.69689941406,NA,NA,NA
"215","P24534",NA,1312.43408203125,1476.48620605469,1372.07458496094,NA,1158.57312011719,1076.13439941406
"216","P24666",NA,1149.77111816406,NA,1192.65234375,NA,NA,NA
"217","P26639",NA,1480.95776367188,1255.17395019531,1077.42834472656,1380.36755371094,1148.1884765625,1100.26452636719
"218","P30048;P30048-2",NA,1306.50756835938,1496.05053710938,1446.14599609375,1463.17736816406,NA,1070.40405273438
"219","P31948",NA,1025.88818359375,1289.39404296875,NA,NA,NA,NA
"220","P34897;P34897-3",NA,1070.22277832031,1010.65631103516,1088.20886230469,1164.87536621094,NA,NA
"221","P35613;P35613-2",NA,1402.56567382812,1461.82604980469,1672.056640625,1545.22888183594,1340.54553222656,1073.2568359375
"222","P35637;P35637-2",NA,1141.66015625,1213.57690429688,1051.25073242188,1028.17407226562,1033.67028808594,NA
"223","P39023",NA,1239.48767089844,1340.72607421875,1283.83984375,1280.89978027344,1211.89758300781,1115.18212890625
"224","P45880",NA,1041.55090332031,1241.91943359375,1090.60791015625,NA,NA,NA
"225","P54819;P54819-2;P54819-3",NA,1074.78686523438,1062.64270019531,1337.10119628906,NA,NA,NA
"226","P55209;P55209-2",NA,1086.96520996094,NA,NA,NA,NA,NA
